country,nobel,chocolate,cocoa,alcoholic,cheese,cigarettes,contact_lenses,footwear,leather_footwear,small_appliances,snack,tea,wine
SaintLucia,111.317,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Luxembourg,33.88,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Switzerland,32.771,8.8,5.88,91.72,22.2,1088.39,6.61,5.29,3.13,0.76,4.13,0.97,42.8
Sweden,30.052,6.6,2.29,79.6,20.5,567.65,5.31,3.07,0.71,0.73,5.44,0.64,27.2
Iceland,29.605,nan,nan,nan,27.7,nan,nan,nan,nan,nan,nan,nan,nan
Austria,25.138,8.1,3.8,127.15,21.1,1223.66,7.03,5.66,2.01,0.67,6.5,0.59,41.2
Denmark,24.329,4.9,3.29,89.55,28.1,970.99,8.39,3.68,1.5,0.65,4.81,0.32,34.3
Norway,24.284,5.8,4.02,64.07,19.8,355.29,7.04,3.55,2.17,0.69,3.92,0.6,nan
UnitedKingdom,19.429,7.6,3.64,101.58,11.7,422.89,1.92,5.25,1.05,0.63,6.48,4.28,24.6
EastTimor,15.105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ireland,14.572,7.9,4.02,114.04,8.6,560.32,4.23,6.31,0.9,0.57,5.72,4.83,nan
Israel,14.196,nan,2.96,nan,18.9,nan,nan,nan,nan,nan,nan,0.45,nan
Germany,13.527,7.9,3.96,131.55,24.7,889.88,2.09,4.45,1.34,0.66,3.86,1.52,36.5
Hungary,13.417,nan,1.79,80.2,13.2,853.01,1.18,2.25,0.62,0.7,7.32,0.62,31.0
UnitedStates,11.721,4.4,2.46,92.48,16.7,776.69,2.06,7.44,1.54,1.08,21.79,0.5,nan
Netherlands,11.707,5.1,2.28,93.37,21.6,573.15,5.61,6.42,1.29,1.03,9.05,1.72,27.0
France,10.664,4.3,3.62,79.88,27.2,656.01,2.43,4.91,1.21,0.75,3.65,0.44,45.1
Finland,9.021,5.4,3.02,91.45,27.3,870.89,8.97,2.21,0.47,0.6,5.94,0.54,nan
Belgium,8.697,5.6,5.69,97.12,15.0,632.47,3.52,4.78,3.36,0.58,4.05,0.28,32.1
Cyprus,8.41,nan,nan,nan,26.7,nan,nan,nan,nan,nan,nan,nan,nan
TrinidadandTobago,7.285,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Canada,6.765,nan,2.55,85.2,13.4,766.93,2.5,3.78,2.0,0.97,8.08,1.12,nan
NewZealand,6.316,5.0,nan,nan,8.2,nan,nan,nan,nan,nan,nan,2.63,27.5
BosniaandHerzegovina,5.708,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Latvia,5.182,nan,nan,98.69,19.8,797.6,1.0,2.38,0.92,0.4,5.55,nan,nan
Poland,4.986,5.7,1.69,112.49,17.3,1251.2,1.61,1.83,0.6,0.66,3.19,2.2,nan
Australia,4.844,4.9,2.87,106.12,14.7,612.74,nan,nan,nan,nan,5.2,1.65,28.4
Slovenia,4.805,nan,3.07,90.48,nan,1846.41,0.8,2.68,0.2,0.42,2.93,nan,nan
NorthMacedonia,4.796,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
CzechRepublic,4.706,4.9,2.44,163.9,17.6,1882.64,2.22,2.91,0.85,0.49,4.19,0.93,nan
Liberia,4.121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Lithuania,3.476,nan,nan,126.15,17.4,1279.22,1.2,2.6,0.87,0.37,3.4,nan,nan
Italy,3.373,nan,1.46,63.81,21.5,982.4,2.47,3.82,1.37,0.62,4.25,0.31,45.0
Croatia,2.401,nan,nan,113.44,13.0,1731.76,0.5,3.19,0.52,0.55,4.2,nan,nan
Japan,2.202,1.2,1.22,60.21,2.4,1286.69,nan,2.38,1.07,nan,4.12,2.13,nan
Belarus,2.116,nan,nan,nan,12.9,nan,nan,nan,nan,nan,nan,nan,nan
Romania,2.043,nan,0.98,98.69,nan,1212.96,0.69,1.94,0.76,0.31,5.98,0.16,27.0
CostaRica,2.019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Palestine,1.979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Portugal,1.943,nan,1.71,106.16,nan,696.54,1.94,3.93,1.45,0.43,7.83,0.14,41.3
Greece,1.795,nan,2.6,62.23,nan,967.55,0.32,3.68,0.47,0.43,4.89,0.05,39.7
SouthAfrica,1.742,0.9,0.39,nan,1.9,nan,nan,nan,nan,nan,nan,1.79,nan
Spain,1.724,nan,2.28,77.5,9.0,971.16,1.96,3.61,1.28,0.57,5.93,0.32,18.4
Russia,1.598,4.8,1.39,nan,5.7,nan,nan,nan,nan,nan,nan,3.05,nan
Bulgaria,1.421,nan,nan,97.82,nan,1836.55,0.59,2.07,0.57,0.7,7.9,0.24,nan
Guatemala,1.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Argentina,1.119,nan,0.79,80.09,11.6,788.03,nan,nan,nan,nan,1.97,0.47,31.3
Chile,1.099,nan,0.97,nan,9.3,nan,nan,nan,nan,nan,nan,1.61,nan
Azerbaijan,1.008,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Algeria,0.476,nan,0.58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ukraine,0.454,nan,0.48,nan,3.6,nan,nan,nan,nan,nan,nan,1.28,nan
Taiwan,0.422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.65,nan
Colombia,0.404,nan,0.99,nan,1.4,nan,nan,nan,nan,nan,nan,nan,nan
Egypt,0.403,nan,nan,nan,4.2,nan,nan,nan,nan,nan,nan,2.23,nan
SouthKorea,0.391,nan,nan,69.85,2.8,1350.51,nan,2.59,1.77,nan,7.66,0.37,nan
Yemen,0.346,nan,0.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ghana,0.339,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Venezuela,0.309,nan,0.41,nan,nan,nan,nan,nan,nan,nan,nan,0.05,nan
Peru,0.307,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.05,nan
Morocco,0.276,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Iraq,0.254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Turkey,0.244,nan,0.34,nan,7.8,nan,nan,nan,nan,nan,nan,6.96,nan
Iran,0.244,nan,nan,nan,4.7,nan,nan,nan,nan,nan,nan,nan,nan
Mexico,0.229,nan,nan,62.48,3.9,417.4,nan,nan,nan,nan,0.49,0.03,nan
Kenya,0.196,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Myanmar,0.186,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DRCongo,0.119,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Vietnam,0.104,nan,nan,49.33,nan,705.82,nan,0.46,0.35,nan,0.7,0.44,nan
Pakistan,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ethiopia,0.092,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
India,0.081,nan,0.03,7.81,nan,61.61,nan,0.4,0.08,nan,0.81,0.72,nan
China,0.064,0.1,0.04,40.94,0.1,1677.42,nan,1.35,0.83,nan,0.6,1.25,nan
Bangladesh,0.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Nigeria,0.051,nan,0.11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
HongKong,1.346,nan,nan,28.5,nan,453.36,nan,6.59,3.37,nan,5.62,1.43,nan
Estonia,0.0,6.5,nan,114.39,20.0,1368.87,1.54,2.43,0.88,0.38,8.35,nan,nan
Slovakia,0.0,5.2,nan,87.5,14.0,1102.12,1.16,2.62,1.21,0.41,2.99,0.8,25.5
Singapore,0.0,nan,nan,24.22,nan,510.74,nan,4.13,2.43,nan,2.88,0.81,nan
Malaysia,0.0,nan,nan,6.57,nan,277.37,nan,1.46,0.24,nan,2.0,1.06,nan
Brazil,0.047,1.2,0.92,71.75,3.8,255.63,nan,nan,nan,nan,0.84,0.04,nan
Philippines,0.0,nan,nan,16.28,nan,721.91,nan,0.24,0.06,nan,0.56,0.06,nan
Thailand,0.0,nan,nan,38.16,nan,540.05,nan,1.36,1.06,nan,0.43,0.11,nan
Indonesia,0.0,nan,nan,1.14,nan,1210.96,nan,0.44,0.28,nan,0.41,1.01,nan
Uruguay,0.0,nan,nan,nan,8.7,nan,nan,nan,nan,nan,nan,nan,26.4
Kazakhstan,0.0,nan,nan,nan,2.4,nan,nan,nan,nan,nan,nan,nan,nan
