country,nobel,cocoa,contact_lenses
Switzerland,32.771,5.88,6.61
Sweden,30.052,2.29,5.31
Austria,25.138,3.8,7.03
Denmark,24.329,3.29,8.39
Norway,24.284000000000002,4.02,7.04
UnitedKingdom,19.429000000000002,3.64,1.92
Ireland,14.572000000000001,4.02,4.23
Germany,13.527000000000001,3.96,2.09
Hungary,13.417,1.79,1.18
UnitedStates,11.720999999999998,2.46,2.06
Netherlands,11.707,2.28,5.61
France,10.664000000000001,3.62,2.43
Finland,9.021,3.02,8.97
Belgium,8.697000000000001,5.69,3.52
Canada,6.765,2.55,2.5
Poland,4.986000000000001,1.69,1.61
Slovenia,4.805,3.07,0.8
CzechRepublic,4.706,2.44,2.22
Italy,3.373,1.46,2.47
Romania,2.043,0.98,0.69
Portugal,1.943,1.71,1.94
Greece,1.795,2.6,0.32
Spain,1.724,2.28,1.96
