,20101,20102,20103,20104,20105,20106,20107,20108,20109,20110,20111,20112,201121,201122,201123,20201,20202,202021,202022,20301,20302,20303,20304,20401,204011,204012,204013,20402,20403,20404,20405,204051,204052,204053,20406,20501,20502,20503,20504,20505,20506,20507,20508,20601,20602,20603,20604,20701,20702,207021,207022,207023,20703,20801,20802,20803,20901,20902,209021,209022,209023,209024,209025,209026,209027,209028,20903,20904,209041,209042,209043,209044,21001,210011,210012,210013,210014,210015,21002,21003,21004
都道府県,穀類,魚介類,肉類,乳卵類,野菜・海藻,果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,一般外食,学校給食,賄い費,家賃地代,設備修繕・維持,設備材料,工事その他のサービス,電気代,ガス代,他の光熱,上下水道料,家庭用耐久財,家事用耐久財,冷暖房用器具,一般家具,室内装備・装飾品,寝具類,家事雑貨,家事用消耗品,ティッシュペーパー・トイレットペーパー,洗剤,他の家事用消耗品,家事サービス,和服,洋服,シャツ・セーター類,下着類,生地・糸類,他の被服,履物類,被服関連サービス,医薬品,健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通,自動車等関係費,自動車等購入,自転車購入,自動車等維持,通信,授業料等,教科書・学習参考教材,補習教育,教養娯楽用耐久財,教養娯楽用品,文房具,運動用具類,玩具,切り花,他の教養娯楽用品,動物病院代,他のペット関連サービス,教養娯楽用品修理代,書籍・他の印刷物,教養娯楽サービス,宿泊料,パック旅行費,月謝類,他の教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,こづかい（使途不明）,交際費,仕送り金
北海道,4848,5007,4453,2406,5697,2340,2602,4970,7209,3783,2608,10195,9400,543,252,14508,6168,1017,5151,8114,3106,3421,4462,2092,918,910,265,312,509,1924,1871,362,382,1127,568,37,3861,1272,652,69,906,1375,469,2380,820,1557,6019,3649,17936,3957,25,13954,11974,2144,88,781,1167,4684,359,1147,422,417,1853,304,178,5,3197,12333,2119,1522,1556,7136,17408,2534,3000,1040,1403,9431,5670,9591,5048
青森県,5197,5816,5285,2763,7027,3188,3121,4819,8439,4408,4182,8158,7574,584,0,8136,6546,2199,4347,9026,3695,4000,5339,1813,669,968,176,463,329,1488,2242,443,571,1228,1129,893,3219,754,655,166,696,931,455,2319,836,1557,6748,2709,20420,3610,30,16780,12654,4845,76,460,450,3706,306,697,382,471,1458,313,66,13,2932,9879,965,1991,751,6171,25056,1853,2697,707,1776,18022,4484,7528,5588
岩手県,5587,6453,4720,3090,6965,3197,3086,5746,8322,4269,3284,8642,7934,707,0,8978,9238,2386,6852,9553,3908,3257,5582,2245,832,1083,330,701,872,1856,2061,426,481,1153,1065,105,4483,1415,1004,56,999,1098,562,2564,1283,1873,6693,3439,21155,2244,66,18845,14373,3074,64,461,475,4805,387,749,332,845,1927,478,77,10,3291,11590,1479,1731,1596,6784,20054,2585,3872,957,1849,10790,4898,9480,6263
宮城県,6390,5314,5292,3146,6968,2772,2959,5575,9562,4153,3266,11364,10682,681,1,14063,9523,4382,5141,8815,3630,1531,5629,3025,1525,1306,194,461,438,1882,2056,376,481,1200,1039,206,4016,1513,657,82,783,825,420,2195,963,1486,6676,5261,18428,3051,30,15347,13648,3951,79,1118,1885,4715,333,705,272,521,2343,320,217,4,3187,13698,2059,1980,1631,8028,20932,2587,3027,1390,1127,12801,4088,9049,4905
秋田県,6113,6225,5549,2872,7328,3086,3224,5160,8998,4089,3130,8938,8093,845,0,6464,7979,1560,6419,9848,3137,4200,5105,3050,1473,1416,161,460,534,2509,2181,399,462,1319,1007,19,4706,1146,819,69,658,937,438,2386,766,1824,6823,2657,19005,1629,49,17326,14068,2804,53,457,1931,4442,381,690,718,398,1887,273,91,3,3006,11660,1645,2557,927,6531,17849,2138,2887,778,937,11111,5706,9714,8628
山形県,7183,5870,6548,3207,8161,3987,3610,5824,10456,4050,3252,10051,9405,646,0,7900,21819,9533,12286,11088,3830,3174,6909,1463,1036,287,139,542,627,2304,2540,403,555,1583,1068,1,4141,1149,817,126,781,919,577,2111,708,1987,9275,3425,22313,1394,16,20903,15741,4021,90,315,1645,4996,370,856,419,652,2157,326,212,2,3553,12709,1783,2313,963,7650,21433,2405,2992,1236,1229,13571,5784,11018,8924
福島県,6753,5354,5319,2944,7313,3372,3106,5219,9537,4149,2966,9070,8172,893,5,7900,6029,2130,3899,9651,3830,1970,5320,2126,1190,794,141,563,518,1959,2058,374,466,1218,869,222,3599,1462,823,65,632,1028,532,2404,858,1323,5781,3688,22079,2671,15,19393,13803,3989,65,811,747,4737,529,818,315,557,1948,353,212,5,3297,12726,2069,2395,1411,6851,24492,2313,3007,961,1159,17054,7273,12402,5815
茨城県,4889,4755,5131,3082,6780,2577,2872,5675,10370,4990,2605,12611,11807,804,0,8818,8673,1503,7170,9633,3366,886,5024,2910,1614,764,532,717,731,2361,2276,362,509,1405,894,417,4675,1566,964,79,808,972,507,2767,872,1845,7268,4235,23702,6101,124,17476,13872,5467,49,2104,3206,5988,447,1159,531,496,2753,441,154,6,3411,14890,1743,2070,1894,9183,21595,2357,3623,1161,1442,13012,7321,9878,4896
栃木県,5226,4280,4820,2818,6779,2657,2950,5273,9617,4171,2655,12991,12264,727,0,8927,6321,856,5465,8893,3352,944,5250,2470,1320,942,208,724,445,1888,2087,380,483,1224,568,268,5605,1962,838,126,692,1127,520,2094,513,2438,6063,4065,22981,5257,250,17473,14126,4811,19,1245,1313,5451,462,936,537,594,2331,351,236,5,2977,14998,1529,1931,2561,8976,21379,2459,3722,1463,1444,12290,7499,9532,5460
群馬県,5844,4521,4517,2784,6615,2612,2818,5083,8875,4061,2190,10028,9303,723,2,8412,9251,969,8282,8593,3040,1152,4104,2072,1140,702,230,848,832,2057,1954,324,451,1180,805,14,4050,1467,848,107,713,772,489,1769,1073,1570,6975,2373,24651,8949,35,15667,12726,5388,40,904,797,5377,462,1142,553,604,2130,375,108,2,2823,14130,1896,2315,1620,8299,19213,2371,3002,794,1442,11604,6341,8742,9720
埼玉県,5256,4524,5184,2875,7107,2587,2910,5278,10104,4065,2429,13455,12636,818,0,13060,7295,836,6458,8437,3813,406,4366,2179,1321,616,242,438,589,2210,1935,342,452,1140,533,193,4594,1685,819,79,758,1055,489,2130,937,1596,6847,5846,14166,2776,236,11153,12279,7598,66,1406,1417,5372,476,1108,548,371,2003,636,225,4,3010,16506,1427,2600,2377,10102,19905,2426,3280,1479,1157,11564,5745,9979,2618
千葉県,4854,4486,5074,2915,6916,2544,2886,5554,10312,4153,2651,14273,13566,706,0,13272,6542,1241,5301,8266,3515,400,4467,2627,1462,934,231,509,907,2368,1983,325,455,1203,746,159,4913,1373,789,65,630,1041,499,2221,1201,1563,6380,7389,14699,2817,158,11724,13005,6556,52,2289,1396,6159,494,1222,778,391,2350,688,231,5,3196,15982,1691,2175,2027,10089,18507,2807,3387,1263,1200,9850,6631,11971,2545
東京都,4324,4000,4730,2643,6382,2392,2498,4900,9746,3796,2275,17711,17282,420,9,28408,7430,1593,5837,7179,3108,115,3684,1784,1016,448,320,443,568,2142,1565,279,355,932,672,41,5372,1714,776,64,740,1161,661,2098,1059,1526,6905,7470,7026,350,280,6396,10720,7935,57,1918,1569,4400,434,827,503,334,1757,325,210,10,2972,17523,1787,3158,2208,10371,17094,3134,3354,1534,760,8312,4731,9584,3680
