,m12,m34,Z1,Z2,Z3,Z4,D1,D2,D3,D4,F12,F_b1,F_b2,F_p12,F34,F_b3,F_b4,F_p34,w1,w2,w3,w4,v12,v34,i
0,2.0,2.5,37.0,290.0,74.0,187.0,74.0,580.0,185.0,467.5,636.62,1668.565,1989.389,658.815,1995.889,3528.104,3720.594,2020.149,157.08,20.041,20.041,7.931,5.812,1.854,19.806
1,2.0,3.0,37.0,262.0,52.0,147.0,74.0,524.0,156.0,441.0,636.62,1668.565,1981.543,650.944,2138.389,4998.109,5459.981,2162.03,157.08,22.183,22.183,7.847,5.812,1.73,20.018
2,2.0,4.0,39.0,223.0,29.0,102.0,78.0,446.0,116.0,408.0,603.973,1646.984,1919.979,649.343,2322.171,8075.826,9798.813,2326.06,157.08,27.471,27.471,7.81,6.126,1.593,20.111
3,2.0,5.0,39.0,196.0,19.0,75.0,78.0,392.0,95.0,375.0,603.973,1646.984,1912.608,636.296,2492.182,11730.626,15284.315,2498.551,157.08,31.256,31.256,7.918,6.126,1.485,19.838
4,2.0,6.0,38.0,181.0,14.0,59.0,76.0,362.0,84.0,354.0,619.867,1659.293,1933.353,622.358,2671.33,15645.784,21939.656,2745.761,157.08,32.978,32.978,7.825,5.969,1.385,20.073
5,2.0,8.0,39.0,199.0,12.0,47.0,78.0,398.0,96.0,376.0,603.973,1646.984,1913.427,637.892,2503.97,24503.713,36913.536,4039.598,157.08,30.784,30.784,7.86,6.126,1.478,19.985
6,2.0,10.0,39.0,227.0,12.0,41.0,78.0,454.0,120.0,410.0,603.973,1646.984,1921.071,651.051,2285.03,37126.105,54496.298,5943.576,157.08,26.987,26.987,7.899,6.126,1.619,19.887
7,2.5,2.5,26.0,231.0,79.0,178.0,65.0,577.5,197.5,445.0,724.767,2562.159,3277.051,779.384,2119.256,3627.282,3799.42,2131.712,157.08,17.68,17.68,7.847,5.105,1.746,20.019
8,2.5,3.0,26.0,209.0,56.0,139.0,65.0,522.5,168.0,417.0,724.767,2562.159,3266.812,771.171,2254.112,5145.569,5544.153,2289.33,157.08,19.541,19.541,7.873,5.105,1.641,19.953
9,2.5,4.0,26.0,179.0,33.0,95.0,65.0,447.5,132.0,380.0,724.767,2562.159,3252.849,757.132,2457.07,8467.16,9929.819,2571.471,157.08,22.816,22.816,7.926,5.105,1.506,19.819
10,2.5,5.0,26.0,161.0,22.0,71.0,65.0,402.5,110.0,355.0,724.767,2562.159,3244.471,746.546,2651.989,12459.463,15498.071,2823.925,157.08,25.367,25.367,7.86,5.105,1.395,19.984
11,2.5,6.0,29.0,142.0,14.0,57.0,72.5,355.0,84.0,342.0,649.791,2483.94,3066.952,763.024,2746.141,15780.037,22015.202,2750.811,157.08,32.08,32.08,7.879,5.694,1.347,19.936
12,2.5,8.0,27.0,151.0,12.0,43.0,67.5,377.5,96.0,344.0,697.924,2535.188,3184.022,750.716,2744.44,25225.053,37427.786,4081.298,157.08,28.087,28.087,7.838,5.301,1.348,20.04
13,2.5,10.0,26.0,179.0,13.0,38.0,65.0,447.5,130.0,380.0,724.767,2562.159,3252.849,757.132,2494.871,40312.379,55222.437,6388.094,157.08,22.816,22.816,7.805,5.105,1.483,20.124
14,3.0,3.0,22.0,175.0,56.0,141.0,66.0,525.0,168.0,423.0,713.786,3534.047,4648.836,932.014,2230.581,5126.647,5528.549,2290.24,157.08,19.747,19.747,7.843,5.184,1.659,20.028
15,3.0,4.0,23.0,148.0,31.0,97.0,69.0,444.0,124.0,388.0,682.752,3486.208,4533.537,929.921,2444.691,8332.333,9932.536,2462.358,157.08,24.411,24.411,7.801,5.419,1.513,20.135
16,3.0,5.0,24.0,131.0,20.0,73.0,72.0,393.0,100.0,365.0,654.304,3440.286,4410.083,928.56,2571.413,12059.291,15393.604,2613.813,157.08,28.778,28.778,7.884,5.655,1.439,19.923
17,3.0,6.0,29.0,121.0,13.0,62.0,87.0,363.0,78.0,372.0,541.493,3261.907,3990.937,973.354,2520.024,14560.001,21657.17,2559.831,157.08,37.647,37.647,7.894,6.833,1.468,19.899
18,3.0,8.0,22.0,131.0,13.0,44.0,66.0,393.0,104.0,352.0,713.786,3534.047,4594.262,898.319,2697.287,26449.295,37370.629,4342.216,157.08,26.38,26.38,7.794,5.184,1.372,20.154
19,3.0,10.0,22.0,151.0,13.0,38.0,66.0,453.0,130.0,380.0,713.786,3534.047,4632.863,915.76,2487.269,40272.108,55167.271,6381.712,157.08,22.886,22.886,7.829,5.184,1.488,20.063
